Fecha de Contrato,Nº Expediente,Destino,Título:,Fecha de inicio,Fecha fin actual,Importe bruto licitación:,Importe bruto adjudicación:,Forma adjudicación:,Número de licitadores:,NIF,Razón social:,Fecha aprobación,duration_days,Importe bruto adjudicación per day,% bruto respect licitacion
2022-07-15,VLC-64/2022,APTO.VALENCIA,SERVICIO DE VACIADO DE DEPÓSITOS ZONA DE PRÁCTICAS SSEI EN EL AEROPUERTO DE VALENCIA,2022-07-25,2023-07-25,12100.0,12100.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,B098267859,DESATASCO EXPRESS SL,,365.0,33.15068493150685,1.0
2022-07-15,SCQ-32/2022,APTO.SANTIAGO,SUMINISTRO E INSTALACIÓN DE BOMBA DE DRENAJE EN ARQUETA EN,2022-07-15,2022-09-15,9776.8,9769.54,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,B036584092,SAIDRES DE TRASDEZA SL,,62.0,157.57322580645163,0.9992574257425744
2022-07-14,PMI-44/2022,APTO.PALMA DE MALLORCA,SERVICIO EJECUCIÓN PROCEDIMIENTO GESTIÓN DEL CAMBIO Y CONTROL PROVEEDORES,2022-07-15,2023-07-15,108900.0,108900.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,B083997072,GESNAER CONSULTING SLNE,,365.0,298.35616438356163,1.0
2022-07-13,DEA-81/2022-1,DIR.OPERACION Y RED APTOS,29.000 L DE ESPUMÓGENO AFFF NIVEL B DE OACI AL 6%,2022-07-19,2022-10-19,64565.6,64565.6,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,A033018003,AUXQUIMIA SA,,92.0,701.8,1.0
2022-07-13,IBZ-31/2022,APTO.IBIZA,SERVICIO DE VIGILANCIA Y CONTROL DE OBSTÁCULOS Y SUPERVISIÓN DE ASPECTOS OPERACIONALES EN EL AEROPUERTO DE IBIZA,2022-08-01,2023-08-01,70785.0,55962.5,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,3.0,B029869856,AERTEC SOLUTIONS SL,,365.0,153.32191780821918,0.7905982905982906
2022-07-13,DEA-81/2022-2,DIR.OPERACION Y RED APTOS,14.720 L DE ESPUMÓGENO AFFF NIVEL C DE OACI AL 6%,2022-07-19,2022-10-19,45062.34,45062.34,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,A033018003,AUXQUIMIA SA,,92.0,489.80804347826086,1.0
2022-07-13,PMI-46/2022,APTO.PALMA DE MALLORCA,SERVICIO DE ASESORAMIENTO/CONSEJERIA DE SEGURIDAD ADR,2022-07-14,2023-07-14,1609.3,1609.3,PROCEDIMIENTO ABIERTO SIMPLIFICADO,3.0,B096669692,FIMED SL,,365.0,4.4090410958904105,1.0
2022-07-12,LPA-14/2022,APTO.GRAN CANARIA,SERVICIO DE CONTROL DE PASAPORTES DEL AEROPUERTO DE GRAN CANARIA: SOPORTE A FUERZAS Y CUERPOS DE SEGURIDAD DEL ESTADO,2022-07-19,2023-07-19,308701.85,281126.66,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,A028506038,MITIE FACILITIES SERVICES,,365.0,770.2100273972602,0.9106737131636885
2022-07-12,VGO-36/2022,APTO.VIGO,SERVICIO PARA DESBROCE  DE VEGETACIÓN EN FINCAS,2022-07-18,2022-10-18,25410.0,21659.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,5.0,B070517891,ALMA JARDINERIA PAISAJ SL,,92.0,235.42391304347825,0.8523809523809524
2022-07-11,DDT-46/2022,DIR DESARROL Y TRANSFO IT,SUMINISTRO EN ESTADO OPERATIVO DE PRODUCTOS SAP,2022-08-11,2027-08-11,,,PROCEDIMIENTO ABIERTO UN SOLO CRITERIO,2.0,A028855260,"INETUM ESPAÑA, S.A.",,1826.0,1582.8317469879519,0.9349403390799087
2022-07-11,BCN-24/2022,APTO.J.TARRAD BARCELONA P,INSTALACIÓN DE SISTEMA DE EXTRACCIÓN HUMOS EN DIQUE SUR DE TERMINAL T1,2022-08-11,2022-12-21,,,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,A064381072,COMSA INST Y SIS INDUS SA,,132.0,9165.538333333334,0.9090049056844655
2022-07-11,DIN-644/2021,APTO.CESAR MANR LANZAROTE,SUMINISTRO EN ESTADO OPERATIVO DE UN ILS/DME CAT I RWY03 EN AEROPUERTO DE LANZAROTE,2022-08-11,2024-02-11,765017.9,555604.01,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,3.0,B087060836,SEA AND AIR TECHNOLOGY SL,,549.0,1012.0291621129326,0.726262758034812
2022-07-11,DDI-651/2021,DIR.DESARRO. INMOBILIARIO,IDENTIFICACIÓN DE OPORTUNIDADES PARA EL DESARROLLO DE LOS TRÁFICOS DE CARGA AÉREA Y PROPUESTA DE ACTUACIONES EN LOS AEROPUERTOS DE LA RED DE AENA,2022-07-12,2023-01-12,326700.0,227480.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,A061932471,GESTIO I PROMOCIO AEROPOR,,184.0,1236.304347826087,0.6962962962962963
2022-07-11,ACE-51/2022,APTO.CESAR MANR LANZAROTE,LIMPIEZA EXTERIOR LADO AIRE Y RECOGIDA- GESTIÓN DE RESIDUOS DEL AEROPUERTO CÉSAR MANRIQUE - LANZAROTE,2022-08-01,2023-08-01,197679.29,197679.29,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,A035009620,MARTINEZ CANO CANARIAS SA,,365.0,541.587095890411,1.0
2022-07-11,EAS-57/2022,APTO.SAN SEBASTIÁN,SERVICIO DE MANTENIMIENTO DE VEHICULOS CONTRAINCENDIOS EN EL AEROPUERTO DE SAN SEBASTIAN,2022-07-12,2027-07-12,29040.0,29027.9,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,B081190381,RMS SL,,1826.0,15.89698795180723,0.9995833333333334
2022-07-08,PMI-33/2022,APTO.PALMA DE MALLORCA,NUEVA BASCULA DE PESAJE PARA LA PLANTA DE TRANSFERENCIA DEL AEROPUERTO DE PALMA DE MALLORCA,2022-07-14,2022-12-14,192798.86,191834.86,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,A007296536,AMER E HIJOS SA,0.0,153.0,1253.8226143790848,0.9949999704355098
2022-07-08,TFN-35/2022,APTO.TENERIFE NORTE,SERVICIO DE CONTROL DE LA VEGETACIÓN Y LIMPIEZA DEL CAMPO DE VUELO,2022-07-13,2023-07-13,83049.12,83049.12,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,045442316C,RODRIGUEZ LEON EVARISTO,,365.0,227.53183561643834,1.0
2022-07-08,PMI-10/2022,APTO.PALMA DE MALLORCA,"SERVICIO DE REVISIÓN, ACTUALIZACIÓN Y MANTENIMIENTO  DEL INVENTARIO DEL INMOVILIZADO DEL AEROPUERTO DE PALMA DE MALLORCA",2022-07-25,2023-07-25,133100.0,81130.5,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,4.0,B065322869,ALDEBARAN 2 0 IT PROJ SL,0.0,365.0,222.27534246575343,0.6095454545454545
2022-07-08,SCQ-25/2022,APTO.SANTIAGO,SERVICIO DE COORDINACIÓN DE SEGURIDAD Y SALUD Y DE ACTIVIDADES PREVENTIVAS EN EL AEROPUERTO DE SANTIAGO-ROSALÍA DE CASTRO,2022-07-08,2023-07-08,18150.0,18150.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,3.0,B027752526,CIES ATLANTICO SLU,,365.0,49.726027397260275,1.0
2022-07-08,TFN-36/2022,APTO.TENERIFE NORTE,SERVICIO DE ANALÍTICAS DE AGUAS DE VERTIDOS Y LODOS,2022-07-08,2023-07-08,8025.0,7276.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,B038731584,"DEPURAGUA CANARIAS, S.L.",,365.0,19.934246575342467,0.9066666666666666
2022-07-08,VIT-31/2022,APTO.VITORIA,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS INSTALACIONES DE CLIMATIZACIÓN DEL AEROPUERTO DE VITORIA,2022-07-08,2023-01-08,6642.9,4595.58,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,A001011550,VENTICLIMA SA,,184.0,24.975978260869564,0.6918032786885246
2022-07-07,MAD-85/2022,APTO.A.SUAREZ MAD-BARAJAS,ALQUILER DE EQUIPOS DE DESINFECCIÓN DE BANDEJAS PARA EL AEROPUERTO ADOLFO SUAREZ MADRID/BARAJAS,2022-07-20,2023-07-26,87120.0,87120.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,B030860332,"TECNIMUSA, S.L.",0.0,371.0,234.82479784366578,1.0
2022-07-07,DMC-60/2022,DIR MARKETING COM Y NEG D,PRODUCCIÓN DE MATERIAL PARA ACCIONES COMERCIALES DE AENA,2022-08-07,2024-08-07,60500.0,49755.2,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,B095647822,PRINTHAUS SL,,731.0,68.06456908344732,0.8223999999999999
2022-07-07,SPC-37/2022,APTO.LA PALMA,SERVICIO DE MANTENIMIENTO DE LOS VEHÍCULOS DE USO GENERAL DEL AEROPUERTO DE LA PALMA,2022-07-27,2023-07-27,9630.0,9630.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,B016734683,"NAYERMOTOR, S.L.",,365.0,26.383561643835616,1.0
2022-07-07,LPA-24/2022,APTO.GRAN CANARIA,SUMINISTRO-RECARGA DE BOTELLAS DE AIRE PARA EQUIPOS DE RESPIRACIÓN AUTONOMA DEL SSEI,2022-07-07,2023-07-07,3391.9,3391.9,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,B035980283,DELSAN NEGOCIOS S.L.,,365.0,9.292876712328768,1.0
2022-07-06,PMI-43/2022,APTO.PALMA DE MALLORCA,SERVICIO DE CONTROL DE PASAPORTES DEL AEROPUERTO DE PALMA DE MALLORCA: SOPORTE A FUERZAS Y CUERPOS DE SEGURIDAD DEL ESTADO,2022-07-06,2023-07-06,636460.0,636460.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,U010857761,UTE SERVEIS - BROCOLI,,365.0,1743.7260273972602,1.0
2022-07-06,GMZ-15/2022,APTO.LA GOMERA,INSTALACIÓN PASILLO ANTI-RETORNO E INSTALACIONES COMPLEMENTARIAS EN SALA LLEGADAS AEROPUERTO LA GOMERA,2022-07-06,2022-11-06,100791.53,99783.61,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,B035509694,TEMYR SL,,123.0,811.2488617886179,0.9899999533690976
2022-07-05,PMI-3/2022,APTO.PALMA DE MALLORCA,"SUMINISTRO, CONFIGURACIÓN E INSTALACIÓN DE EQUIPOS TETRA PARA SSEI DEL AEROPUERTO DE PALMA DE MALLORCA",2022-07-18,2022-08-18,243185.8,205254.72,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,B007061856,"LEVEL ELECTRONICS, S.L.",,31.0,6621.12,0.8440242810229874
2022-07-05,MAD-77/2022,APTO.A.SUAREZ MAD-BARAJAS,ADQ. TARJETAS DOBLE TECNOLOGIA BANDA MAGNETICA Y PROXIMIDAD MIFARE DESFIRE EV3 PARA CONFECCION ACREDITACIONES APTO ADOLFO SUAREZ MADRID-BARAJAS,2022-07-05,2022-10-05,190575.0,90145.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,A008244287,"CALMELL,S.A.",,92.0,979.8369565217391,0.473015873015873
2022-07-05,LPA-20/2022,APTO.GRAN CANARIA,ACONDICIONAMIENTO DE SOLADOS EN NÚCLEOS DE COMUNICACIÓN DEL APARCAMIENTO PÚBLICO,2022-07-05,2022-09-05,66340.0,56000.99,PROCEDIMIENTO ABIERTO SIMPLIFICADO,5.0,B076282748,CECECONS CONTRATAS SL,,62.0,903.2417741935484,0.8441511908350919
2022-07-05,SPC-25/2022,APTO.LA PALMA,SUMINISTRO DE PRODUCTOS DE FARMACIA Y PARAFARMACIA PARA EL AEROPUERTO DE LA PALMA,2022-08-07,2023-08-07,642.0,642.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,042090200Q,GOMEZ FDEZ CARMEN-FARMACI,,365.0,1.7589041095890412,1.0
2022-07-04,MAD-50/2022,APTO.A.SUAREZ MAD-BARAJAS,MIGRACIÓN EBI EDIFICIO CLASA,2022-07-22,2022-09-22,97559.7,97559.7,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,B028154334,HONEYWELL SL,,62.0,1573.5435483870967,1.0
2022-07-04,PMI-40/2022,APTO.PALMA DE MALLORCA,SERVICIO PARA LA PREPARACIÓN FÍSICA DEL COLECTIVO SSEI DEL AEROPUERTO DE PALMA DE MALLORCA,2022-08-04,2023-08-04,34848.0,29040.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,4.0,B057979197,MOVEMENT QUALITY CENTER,,365.0,79.56164383561644,0.8333333333333334
2022-07-01,DDT-302/2021,DIR DESARROL Y TRANSFO IT,OFICINA DE INGENIERÍA Y AUTOMATIZACIÓN DE PROCESOS,2022-07-05,2025-07-05,,,PROCEDIMIENTO RESTRINGIDO VARIOS CRITERIOS,1.0,B088018098,INDRA SOL TECNO INFORM SL,,1096.0,16001.861450729926,0.9555714958890702
2022-07-01,ACE-159/2022,VARIOS AEROPUERTOS,SERVICIO DE GESTION INTEGRAL DE LA SALA VIP EN EL AEROPUERTO DE LANZAROTE,2022-07-01,2024-07-01,,,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,U010842235,UTE ESATUR-SKY MANAGEMENT,,731.0,1401.8345280437757,0.9559477424346885
2022-07-01,AGP-70/2022,APTO.MÁLAGA COSTA SOL,SUMINISTRO DE MATERIAL PARA 125 TOMAS DOBLES RMS Y F.O. PARA EL AEROPUERTO DE MÁLAGA-COSTA DEL SOL,2022-07-06,2022-07-06,24200.0,24200.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,5.0,B092188812,EUROCABOS GRUPO,,0.0,inf,1.0
2022-07-01,MAD-79/2022-2,APTO.A.SUAREZ MAD-BARAJAS,MANTENIMIENTO DE EQUIPOS DE AIRE RESPIRABLE DEL SERVICIO DE SALVAMENTO Y EXTINCIÓN DE INCENDIOS DEL AEROPUERTO ADOLFO SUAREZ MADRID BARAJAS.LOTE - 2,2022-07-30,2023-07-30,18029.0,18029.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,B085582013,INV PROTECCION SL,,365.0,49.394520547945206,1.0
2022-07-01,MAD-79/2022-1,APTO.A.SUAREZ MAD-BARAJAS,MANTENIMIENTO DE EQUIPOS DE AIRE RESPIRABLE DEL SERVICIO DE SALVAMENTO Y EXTINCIÓN DE INCENDIOS DEL AEROPUERTO ADOLFO SUAREZ MADRID BARAJAS.LOTE - 1,2022-07-30,2023-07-30,17545.0,17545.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,B085582013,INV PROTECCION SL,,365.0,48.06849315068493,1.0
2022-07-01,MAD-79/2022-3,APTO.A.SUAREZ MAD-BARAJAS,MANTENIMIENTO DE EQUIPOS DE AIRE RESPIRABLE DEL SERVICIO DE SALVAMENTO Y EXTINCIÓN DE INCENDIOS DEL AEROPUERTO ADOLFO SUAREZ MADRID BARAJAS.LOTE - 3,2022-07-30,2023-07-30,18029.0,12584.0,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,B085582013,INV PROTECCION SL,,365.0,34.47671232876712,0.697986577181208
2022-06-30,DMC-681/2021-2,DIR MARKETING COM Y NEG D,EJECUCIÓN DE CAMPAÑAS DE MARKETING EN LOS AEROPUERTOS DE AENA.LOTE - 2,2022-07-30,2024-07-30,,,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,5.0,A028681724,OGILVY   MATHER PUB MA SA,,731.0,6546.5800273597815,0.98875
2022-06-30,DMC-681/2021-1,DIR MARKETING COM Y NEG D,EJECUCIÓN DE CAMPAÑAS DE MARKETING EN LOS AEROPUERTOS DE AENA.LOTE - 1,2022-07-30,2024-07-30,,,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,6.0,A083587774,ROD AS PUBLI Y COMUNIC SA,,731.0,6419.952120383037,0.969625
2022-06-30,DMC-160/2022,VARIOS AEROPUERTOS,SERVICIO DE GESTIÓN INTEGRAL DE LAS SALAS VIP EN LOS AEROPUERTOS DE MENORCA E IBIZA,2022-07-30,2024-07-30,,,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,A061710687,GEST SERV TRADE CENT SA,,731.0,3922.254227086183,0.9145021804879668
2022-06-30,DIN-499/2021,APTO.J.TARRAD BARCELONA P,RENOVACIÓN DEL SMR DEL AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,2022-07-30,2024-01-30,,818906.45,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,B087060836,SEA AND AIR TECHNOLOGY SL,,549.0,1491.632877959927,0.5997646163972274
2022-06-30,DTC-106/2022,VARIOS AEROPUERTOS,LICENCIAS FORESCOUT,2022-07-30,2025-07-30,862353.69,766933.86,PROCEDIMIENTO ABIERTO UN SOLO CRITERIO,2.0,A080644081,ACUNTIA SA,,1096.0,699.7571715328467,0.8893495428772388
2022-06-30,DIN-538/2021,VARIOS AEROPUERTOS,ATRP ACTUACIONES DESCENTRALIZADAS EN AEROPUERTOS FASE IV ZONA NOROESTE,2022-07-20,2027-07-20,,458690.43,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,8.0,U010683415,UTE CON ING UG21-BLAS GUT,,1826.0,251.199578313253,0.4212033333333333
2022-06-29,DDT-565/2021,VARIOS AEROPUERTOS,DESARROLLO Y MANTENIMIENTO DE APLICACIONES GESTIÓN EMPRESARIAL,2022-07-29,2025-07-29,,,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,4.0,A081608077,T-SYSTEMS ITC SERV.SAU,,1096.0,22930.383211678833,0.6935176354405163
2022-06-29,DTC-692/2021,VARIOS AEROPUERTOS,Adquisición equipamiento hiperconvergente para Windows en aeropuertos de primer nivel y Linux en Servicios Centrales de Aena.,2022-07-29,2024-07-29,,,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,3.0,A028855260,"INETUM ESPAÑA, S.A.",,731.0,18206.315485636114,0.9992751885163986
2022-06-29,MAD-92/2022,APTO.A.SUAREZ MAD-BARAJAS,"SERVICIO DE LIMPIEZA, LAVANDERÍA, ATENCIÓN SOCIAL, SEGURIDAD Y SUM FARMAC SALAS 3 Y 4 DE RECHAZADOS EN FRONTERA DEL APTO ADOLFO SUÁREZ MADRID-BARAJAS",2022-07-01,2023-07-01,725888.93,711280.35,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,B083836205,I-SEC SPAIN AVIATI SEC SL,,365.0,1948.7132876712328,0.97987491006372
2022-06-29,ACE-37/2022,APTO.CESAR MANR LANZAROTE,SERVICIO DE CONTROL DE PASAPORTES DEL AEROPUERTO CESAR MANRIQUE-LANZAROTE,2022-07-20,2023-07-20,163196.4,163196.4,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,B002690287,MITIE INTEGRA CANARIAS SL,,365.0,447.1134246575342,1.0
2022-06-29,MAD-38/2022,APTO.A.SUAREZ MAD-BARAJAS,SERVICIO DE GESTIÓN DEL ESTACIONAMIENTO DE AUTOBUSES DE T4 EN EL AEROPUERTO ADOLFO SUÁREZ MADRID-BARAJAS.,2022-06-29,2023-06-29,177572.39,136642.67,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,3.0,A024037905,"CALECAR,S.A.",,365.0,374.36347945205483,0.7695040315670696
2022-06-29,GRO-79/2022,APTO.GIRONA-COSTA BRAVA,SERVICIO DE MANTENIMIENTO DEL SOFTWARE SISTEMA XOVIS Y DEL SISTEMA INTEGRADO DE CONTROL DE ACCESOS Y CCTV DE SEGURIDAD AP. GIRONA,2022-07-01,2023-07-01,72321.36,71995.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,B083680132,ELECNOR SEGURIDAD SL,,365.0,197.24657534246575,0.9954873636225867
2022-06-29,VIT-20/2022,APTO.VITORIA,SERVICIO DE AUMENTO DE AISLAMIENTO DE CIRCUITOS DE BALIZAMIENTO DEL AEROPUERTO DE VITORIA,2022-07-01,2023-07-01,44576.4,43684.87,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,B091143529,INST ELECT CRIMASA SL,,365.0,119.68457534246576,0.9799999551332095
2022-06-29,AGP-53/2022-1,APTO.MÁLAGA COSTA SOL,SUMINISTRO E INSTALACIÓN EQUIPO SAI MARCA SOCOMEC,2022-07-28,2022-10-28,30500.0,28193.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,3.0,B091562561,BEXTRON POWER SL,,92.0,306.44565217391306,0.9243606557377049
2022-06-28,TFN-22/2022,APTO.TENERIFE NORTE,SISTEMA DE MONITORIZACIÓN Y CONTROL DEL AREA DE MOVIMIENTO,2022-07-28,2023-01-28,347204.3,291088.83,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,6.0,A046146387,COBRA INSTALAC Y SERV SA,,184.0,1582.0045108695654,0.8383791041758412
2022-06-28,DRH-10/2022,ORGANIZ.RECURSOS HUMANOS,FORMACIÓN EN OFIMÁTICA,2022-07-28,2023-07-28,121363.0,121363.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,B083133629,CAS TRAINING SL,,365.0,332.5013698630137,1.0
2022-06-28,TFN-24/2022,APTO.TENERIFE NORTE,SUMINISTRO E INSTALACIÓN DEL EQUIPAMIENTO NECESARIO PARA EL MANTENIMIENTO Y EVALUACION DE LAS APTITUDES FÍSICAS DEL PERSONAL DEL SSEI,2022-06-28,2022-08-28,54810.75,39204.93,PROCEDIMIENTO ABIERTO SIMPLIFICADO,3.0,B001029032,EXERCYCLE SL,,61.0,642.7037704918033,0.7152781160629986
2022-06-28,VIT-26/2022,APTO.VITORIA,SERVICIO PARA EL CONTROL DE CALIDAD SERVICIOS PRESTADOS EN EL AEROPUERTO DE VITORIA,2022-07-01,2023-07-01,14520.0,12342.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,B005329149,FIELD WORK & DATA SL,,365.0,33.81369863013698,0.85
2022-06-27,DEA-52/2022,VARIOS AEROPUERTOS,SUMIINSTRO DE TURISMOS ELECTRICOS PARA VARIOS AEROPUERTOS,2022-07-27,2023-03-27,709060.0,706640.0,PROCEDIMIENTO ABIERTO UN SOLO CRITERIO,2.0,A045006939,TALAVERA DE AUTOMOCION SA,,243.0,2907.98353909465,0.9965870307167235
2022-06-27,DEA-642/2021,APTO.VALENCIA,SERVICIO DE CONTROL DE FAUNA EN EL AEROPUERTO DE VALENCIA,2022-07-01,2023-07-01,193129.84,193129.84,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,A012681490,ADDA OPS SA,,365.0,529.1228493150685,1.0
2022-06-27,AGP-42/2022-2,APTO.MÁLAGA COSTA SOL,SUSTITUCION DE BATERIAS EN EQUIPAMIENTO SAI EN EL AEROPUERTO DE MÁLAGA - COSTA DEL SOL.LOTE - 2. SOCOMEC,2022-07-26,2023-05-26,91200.0,109248.48,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,2.0,A060107521,SOCOMEC IBERICA SA,,304.0,359.37,1.1979
